Store.Number,Whlsr..,Whlsr.Name,A.B.Region,FY.15.OOS.Rate,Total.Footage,Average.Deliveries.Per.Week,Average.Cases.Delivered.Per.Week,Delivery.Schedule,Average.Deliveries.Per.Month,cluster
729,1603,SMITH BROTHERS,3,0.023,40,2,498,TuFr,9,1
730,10168,BAMA BUDWEISER OF SYLACAUGA,2,0.007,56,2,663,MoTh,10,1
731,10194,GREENE BEVERAGE,2,0.072,64,2,517,TuFr,9,1
734,30134,ADAMS BEVERAGES,2,0.035,88,2,464,TuFr,9,1
740,30134,ADAMS BEVERAGES,2,0.035,64,2,307,TuFr,9,1
744,94240,SILVER EAGLE DISTRIBUTORS,5,0.058,61,2,535,TuFr,9,1
752,94240,SILVER EAGLE DISTRIBUTORS,5,0.038,52,2,528,MoTh,9,1
753,61491,FAHR BEVERAGE,4,0.008,60,2,664,TuTh,10,1
754,21052,SOUTHERN EAGLE DIST,2,0.018,72,2,490,MoFr,9,1
755,24202,BUDWEISER DISTRIBUTING,5,0.02,56,2,420,TuFr,10,1
757,44276,SILVER EAGLE DISTRIBUTORS,5,0.021,61,2,596,TuFr,10,1
765,44276,SILVER EAGLE DISTRIBUTORS,5,0.032,69,2,431,TuFr,10,1
767,70923,NORTH FLORIDA SALES,2,0.024,72,3,902,TuThFr,14,1
768,94262,SILVER EAGLE DIST LP - CYPRESS,5,0.056,60,2,489,TuFr,9,1
769,40940,GOLD COAST EAGLE,2,0.02,151,4,986,TuThFrSa,18,1
771,10903,CARROLL DISTRIBUTING,2,0.034,40,3,836,Fr,13,1
774,72626,EAGLE DISTRIBUTING,4,0.029,56,2,667,TuFr,9,1
775,81236,G & M DISTRIBUTORS,3,0.006,40,2,409,Fr,9,1
776,72626,EAGLE DISTRIBUTING,4,0.027,72,2,724,TuFr,9,1
777,44207,DEL PAPA DISTRIBUTING,5,0.048,68,2,523,TuFr,9,1
778,40925,PEACE RIVER DISTRIBUTING,2,0.024,117,3,1055,Sa,13,1
780,71008,LEON FARMER & COMPANY,2,0.023,69,2,554,MoTh,9,1
781,34254,BEN E KEITH,5,0.015,72,2,472,MoTh,10,1
782,44276,SILVER EAGLE DISTRIBUTORS,5,0.028,76,2,596,TuFr,10,1
789,64221,BEN E KEITH,5,0.027,77,2,485,TuTh,10,1
790,62663,SANDHILLS DISTRIBUTING,4,0.023,48,2,502,TuFr,9,1
791,54215,L & F DIST OF CORPUS CHRISTI,5,0.036,64,2,394,MoTh,9,1
795,93901,A B BEVERAGE,2,0.016,28,2,651,TuFr,9,1
796,11206,CITY BEVERAGE MARKHAM,3,0.039,76,2,552,Mo,10,1
797,11468,GOLDEN EAGLE DIST,4,0.019,56,2,584,MoTh,10,1
798,51227,EARL GAUDIO & SON,3,0.012,48,2,384,TuTh,9,1
800,20922,WAYNE DENSCH,2,0.036,40,3,639,Sa,13,1
801,32479,OMALLEY BEVERAGE,4,0.02,48,2,410,TuFr,9,1
804,64225,BEN E KEITH,5,0.008,76,2,483,TuTh,8,1
805,22438,GREY EAGLE DISTRIBUTORS,4,0.027,40,2,656,TuTh,10,1
806,3044,PREMIER DISTRIBUTING,5,0.024,92,2,884,TuTh,9,1
808,94231,DEL PAPA DISTRIBUTING,5,0.049,104,2,914,TuFr,9,1
